,userNickname,title,formattedDate,text,isRecommended,rating,badges,positiveFeedbackCount,negativeFeedbackCount
22,Ardon,excelent product,"July 27, 2025",Fit and finish is amazing!!! Top quality... Absolutely recomended to anyone who wants clasic and comfortable footwear!!!,True,5,['IncentivizedReview'],0,0
23,Rika,Sizing off,"July 26, 2025","The colors are great, but I am a solid women's 9, and ordered that size in the Yellow and Core Black, and the shoes were a full inch too long. Also the back of the shoes come up high, past ankle socks, and rubbed the back of my ankle.",False,3,[],1,0
24,Ailine,Gourgeous color!,"July 26, 2025",Beautiful trending color! Goes right with everything! And super comfy,True,5,['IncentivizedReview'],0,0
25,Shires,These shoes make me cool lol,"July 24, 2025","Lightweight and comfy, and very stylish! The colour way and mesh fabric make a unique combination. I’m getting a lot of compliments on these!",True,5,[],0,0
26,adidasfan,Have five pair of this model and love them,"July 24, 2025","For the price, the quality is fine.  Love the different color combinations.",True,5,[],0,0
27,Lui11,Needs improvement,"July 22, 2025",I adore the style and look however quality isn’t great. Worn once and the leather cracked on the sharp edge from the interior of the shoe,True,3,[],5,0
28,Kent,Fantastic shoe - so unique,"July 20, 2025",Adidas continues to crush it with their collaborations.,True,5,[],1,0
29,MoniG,Fashion con comfortable sneakers,"July 20, 2025","Very light and comfortable, the design is very nice I love them!",True,5,"['VerifiedPurchaser', 'IncentivizedReview']",1,0
30,Ms AA,Adidas SL 72,"July 19, 2025",Comfortable and stylish nice color will purchase again,True,5,['VerifiedPurchaser'],0,0
31,Squiche,Cute shoe but not comfortable,"July 19, 2025","I ordered half a size down but should’ve ordered a full size down!  Hate returning but the color is so cute, so I’ll keep them!  I’m switching out the insoles as well cause they’re hard!  And they make this weird flopping sound when I walk!  The shoe is really cute to look at so I gave it a four!!  I love comfort and these are not!",True,4,[],2,0
32,Nymas,Best purchase ever,"July 17, 2025",Comfortable shoes and light weight soft and easy to wear I love it,True,5,['IncentivizedReview'],2,0
33,Fgarciaj76,Great style,"July 17, 2025","Love the style and the color, very comfortable and looks super cool!",True,5,['IncentivizedReview'],0,0
34,Rock21,Love the shoes,"July 16, 2025",Love the style & very comfortable. Colors go great for fall.,True,5,[],0,0
35,Tefy,Perfects,"July 15, 2025","I recently got these Adidas sneakers and I absolutely love them! The burgundy and mustard color combo is super unique and gets a lot of compliments. They’re comfortable for daily wear — lightweight but still feel sturdy. Plus, they go great with both jeans and casual outfits. Definitely a cool and stylish pick if you want something different from the usual white sneakers.",True,5,[],0,0
36,TKD2577,Good Shoe,"July 15, 2025","These shoes are comfortable, light and easy to clean.",True,4,['IncentivizedReview'],0,0
37,Lewbone,Wife loves these,"July 14, 2025",Wife loves these shoes and gets compliments all the time,True,5,['IncentivizedReview'],0,0
38,Daniela,Cool,"July 14, 2025",Very cool sneakers. And comfortable. Love them and recommend them.,True,5,['IncentivizedReview'],1,0
39,AddidasDiva,Addidas equals EXCELLENCE!,"July 14, 2025","I'm an Addidas Girl ! Love their style, comfort and pricing! And the shipping is top tier!",True,5,[],0,0
40,Tin Tin,"Perfect , I m very happy .","July 12, 2025","Perfect . I m very happy . Quality, Delivery. Zzzz",True,5,['VerifiedPurchaser'],0,0
41,Elsie,Don’t recommend,"July 11, 2025",Sizing is too large. Shoe tongue keeps sliding down and bunching up. They aren’t comfortable .,False,1,[],2,0
42,JCS10,Great purchase!,"July 11, 2025",I like the unique design! The color and style help create trendy energy.,True,5,['IncentivizedReview'],1,0
43,Irene,Perfect for summer city walks,"July 11, 2025","Lightweight, I love the material especially for summer. Would not wear during rain",True,5,[],0,0
44,Jinx44,Fun color wave and super comfy,"July 11, 2025",I love this sneaker … it’s sporty and comfortable… it pairs well with a dress or sweat suit,True,5,['top1000'],0,0
45,Refo,Great purchase!!!,"July 10, 2025",Nice color!! This is my third pair of SL 72 sneaker. I receive lot of compliments over them.,True,5,['IncentivizedReview'],0,0
46,TeeDee,Cool,"July 10, 2025",I received many compliments on my shoes. My friends 🧡 know that I only wear ///'s,True,5,['IncentivizedReview'],0,0
47,maynycgal,Perfect to stoll dressed up or doen,"July 10, 2025",These are beautiful and comfortable. The lace definitely makes a big difference.,True,5,['IncentivizedReview'],0,0
48,iloveadidas,good,"July 9, 2025","Alright, let's talk about these Adidas kicks!  First off, the comfort level is out of this world. Feels like you're walking on clouds, even after a long day on your feet. The support is top-notch, too. Whether you're hitting the gym, running errands, or just kicking back, these shoes have got your back... or rather, your feet!  Now, let's talk style. These Adidas shoes have that classic, clean look that goes with just about anything. Dress 'em up or dress 'em down, they always look sharp. Plus, they're built to last. You can tell Adidas didn't skimp on the materials – these shoes are ready to take on whatever adventure you throw at them.  Overall, these Adidas shoes are a solid investment. They're comfortable, stylish, and durable, making them a perfect choice for anyone looking for a reliable pair of everyday shoes. So, if you're in the market for some new footwear, give these Adidas a try. You won't be disappointed!",True,5,[],0,0
49,Keesy,Colors are perfect,"July 8, 2025",The shoe is quite fire but is rather loose in structure no matter how tight you tie the laces.,True,4,['IncentivizedReview'],1,0
50,Deez,Comfortable shoe,"July 8, 2025",Love the design of the shoe! The shoelaces are a different color and not just white.,True,5,['IncentivizedReview'],1,0
51,None,Top of the top always perfect,"July 8, 2025",Always number one with all your product  i never buy and regret,True,5,['VerifiedPurchaser'],0,0
52,ria29,Sizing is Not Accurate,"July 8, 2025","I wear a size 10.5 and I originally bought a 10 because of the reviews. The 10 ended up being too big, so I exchanged it for a 9.5 and it was still too big.",False,1,[],3,0
53,Maria,Super comfy,"July 8, 2025",Fit perfectly and super comfortable . Would definitely buy again in different colors🥰,True,5,['IncentivizedReview'],0,0
54,ejeaves,Amazing purchase for my collection.,"July 7, 2025",Comfortable and very classic. Goes with many different outfits.,True,5,['IncentivizedReview'],0,0
55,j9av,Novel tapestry makes the shoe stand out!,"July 5, 2025","Gorgeous shoe. Love the tapestry aspects, really differentiates the shoes. This model is comfy as always and fits me treu to size length and not tight for my small, slightly wide foot, 22.5cm foot length and the W5.5 was perfect.",True,5,['IncentivizedReview'],2,0
56,AuraM,Excellent buy fits me great,"July 5, 2025",Beauty shoe and comfortable too great price and quality,True,5,[],0,0
57,Minoucha,Stylish,"July 3, 2025",Cool color very nice however the sizing defer from a each model or color you can always get surprised,True,5,[],2,0
58,LinainLA,So cute and comfy!,"July 3, 2025","I’d been eyeing this one for a while, and when I saw it on sale, I didn’t think twice—just grabbed it lol. It’s super cute and comfy! Honestly, feels like walking barefoot.",True,5,[],0,0
59,Nichole,Love them,"July 3, 2025",Love them. Great buy. Color and fit as expected for online purchase.,True,5,['IncentivizedReview'],0,1
60,Chevy,Beautiful shoe,"July 2, 2025",Very beautiful design! Comfortable to wear. True to size. Love them!,True,5,['IncentivizedReview'],0,1
61,Melly,Feels like slippers,"July 1, 2025","These are so comfortable, own 2 pairs. I'm a size 8 regular shoes and 7.5 in Adidas.",True,5,[],2,0
62,Shoelover,Very fun,"July 1, 2025","Love the shoes and the rich, vibrate colours. Only downfall is they turned my socks pink.  Beware the sizing. They run a bit big, had to go down to a 5.5 from a 6.",True,5,[],2,0
63,Hazel,"Too big for my regular size, need to go down","June 30, 2025",The look is cute. The color is perfect. The narrow look is perfect for my petite figure,True,5,[],0,0
64,Mari,Love it,"June 30, 2025",I usually wear size 8 but I got them one size smaller and it was perfect,True,5,"['VerifiedPurchaser', 'IncentivizedReview']",0,0
65,fabiuru,Beautiful colour,"June 30, 2025",Really comfortable sneakers. True to size. My experience is excelent!,True,5,"['VerifiedPurchaser', 'IncentivizedReview']",0,0
66,Aleonfire,"perfect for this summer, super comfortable","June 29, 2025","a love it color combination. then I like that it doesn't suffocate my feet, it's always very cool.",True,5,[],0,0
67,SL72FAN,Love this shoe. Only wish I had gone down 1/2 size,"June 28, 2025",Can’t wait to get next color. So many great options.,True,5,[],0,0
68,AA00.,Comfortable and looks cute.,"June 28, 2025",The shoes looks simple but its perfect to pair with a maxi skirt and a simple top.,True,5,[],0,0
69,BethSheba55,"good overall but just a little to big for 9,5","June 28, 2025","color is beautiful and is very comfy and cute,I am a lover of Adidas big time and would recommend to anyone anytime, especially their clothing and accessories, I am a proud customer of this brand for sports, dressing casual or anywhere, keep being the best brand we can depend on and I will always support in the best way I can.",True,4,[],0,0
70,jbunny25,comfortable fashion forward shoe!,"June 26, 2025","beautiful shoe, that's surprisingly breathable. comfortable, and versatile. even sprayed with a shoe protecting spray, these get dirt quickly, so keep that in mind.",True,5,[],0,0
71,mancho,love it,"June 26, 2025","very cute shoes, beautiful colour and the most comfortable..♥️",True,5,['IncentivizedReview'],0,0
72,Denise,"SO, SO CUTE!","June 26, 2025",They are adorable AND comfortable.  I've had so many compliments.,True,5,['IncentivizedReview'],0,0
73,flam,I love it and wear it all the time!,"June 25, 2025",This shoe is so comfortable and easy to wear.  So Stylish,True,5,['IncentivizedReview'],0,0
74,Clopine,Love the colors,"June 23, 2025","Tjr Colors are just stunning !!! A bit too big, normally I wear 7 1/2 and in these it’s 7.",True,5,[],0,0
75,Karito,I would buy them again,"June 23, 2025","They are beautiful and comfortable, super cute I love it",True,5,"['VerifiedPurchaser', 'IncentivizedReview']",0,0
76,sharon31,very cute and trendy,"June 23, 2025",I love tgis shoe because i can easily wear it witha skirt and give off a cute look or wear it with sone slacks,True,5,[],0,0
77,Fabi50,Súper comfortable  shoes!!,"June 23, 2025",I really like these sneakers very comfortable for walking all day!!!!,True,5,"['VerifiedPurchaser', 'IncentivizedReview']",0,0
78,Angela,I love them,"June 23, 2025",I love it! They fit well and I received lots of  compliments!,True,5,[],0,1
79,Caliente,Love the color,"June 22, 2025",Haven't worn them yet to give a review on comfort but style is amazing,True,4,['IncentivizedReview'],0,0
80,Seatown206,Versatile and chic,"June 22, 2025",A nice departure from Gazelles and Sambas. Great colorway that's versatile and chic. Could easily work with a business-casual ensemble. I followed the suggestions from previous reviewers and sized down .5 and they fit perfectly (usually a women's 9 and ordered an 8.5). So glad to have added these to my collection!,True,5,"['VerifiedPurchaser', 'IncentivizedReview']",2,0
81,JLSA,Most beautiful vibrant green!,"June 21, 2025","I have wanted this style in this color forever! I finally found them, and i am not disappointed! They are true to size, comfortable and the most beautiful vibrant green! You gotta grab a pair!",True,5,['IncentivizedReview'],2,0
82,CandaceO,Size down a half,"June 20, 2025","Such beautiful leather, lightweight and well made. I really liked these but I had to return because I ordered the wrong size.",True,5,[],0,0
83,QueenKat,Perfect Purple,"June 20, 2025","I love this style and the color offerings. Sleek, light, comfy and with bright pops of color. This is my 5th pair, I may have a problem! I always get 8.5 in Adidas shoes, I’m usually a 9- 9.5 at other stores.",True,5,[],0,0
84,SKN23,Run large! and came damage,"June 19, 2025",I ordered two pairs of shoes and both of them came damaged with scuffs on them. Adidas wouldn't send me new ones because I already exchanged them for a different size. Because they run very LARGE! very disappointed because all I could do was return them for a refund but of course the shoes are out of my size.,True,2,[],0,0
85,Spinmin,beautiful shoe!!!!!,"June 19, 2025","unique pattern and style, stands out! fit and support are there but with a stylish statement",True,5,['IncentivizedReview'],0,0
86,Betty,Love them,"June 19, 2025",Love the style and color  Recommend delivery was quick,True,5,[],0,0
87,Skywalker,I love the colors and the cool style of this shoe!,"June 19, 2025",I want all the colors!!! Everybody in my family is getting a few pairs!!!,True,5,[],0,0
88,Lindze,Comfy right out of the box - and stylish!,"June 18, 2025","SO cute with a subtle pop of yellow! Trekked all over Europe in these and not only were they super comfortable, this style is lightweight and versatile. Highly recommend the SL72’s!",True,5,[],0,0
89,Mag25,They go with everything,"June 18, 2025","It’s even better in person, I’m in love with the colours (maroon/yellow). Perfect with so many outfits, my new favorite pair!",True,5,[],0,0
90,Hwa,Comfortable,"June 18, 2025","These are comfortable, just remember they run big.",True,4,['IncentivizedReview'],0,0
91,Deenie,Mellow Yellow,"June 18, 2025",The color is perfect for the summer and so comfortable. I've only had it a few hrs.,True,5,['IncentivizedReview'],0,0
92,Ashish,Good buy,"June 17, 2025","Got it for my niece and she loves it.i wasn’t sure about the colour as i ordered it online. However, the green turned out to be impressive.",True,5,['IncentivizedReview'],0,1
93,AngelRivillo,Super cute and comfortable shoes.,"June 17, 2025","I love that these are low to the ground, better than pictured online, very comfortable, super feminine but athletic too!",True,5,[],0,0
94,74Ca,Seamless customer service!,"June 16, 2025",I love the slim fit! Shipping was incredibly fast and I even ordered the wrong size and had to do a return the customer service was great. I had returned my shoes and had the new ones in less than a week! Shoes are comfortable and stylish. As expected from Adidas. These will be a great staple shoe for my wardrobe!,True,5,['IncentivizedReview'],1,0
95,Regan,Stylish but runs too big.,"June 16, 2025",The colors pop nicely and the velvet makes the shoe.,True,4,['IncentivizedReview'],0,0
96,Doglikeahorse20,Fun for the summer,"June 15, 2025","These are cool for the summer with how bright the color is, easy to clean due to the nylon upper, and pretty comfy. A warning though, they are quite narrow so if you don’t like narrow shoes, they might not be the best choice for you.",True,5,[],0,0
97,AddiDonna,72 OG,"June 15, 2025","Light,slim fit, comfortable.  Still true to size. Just a beautiful shoe.   Versatile.  Good grips. The Colours ( brown & red) together really pop.  I love these shoes!",True,5,[],0,0
98,pdxkate,A new favorite!,"June 14, 2025",Color is super fun and support in the shoe makes them comfortable right out of the box. Love this style!,True,5,['IncentivizedReview'],0,0
99,El40,Comfortable,"June 14, 2025",I was looking for comfortable sneakers. These shoes don't rub against my ankles or toes (with socks on). They're comfortable for casual walks or running errands.,True,5,[],0,0
100,LuvPug23,Cute but sizing is off,"June 14, 2025",My regular size was too big and the next size down too small,False,3,"['VerifiedPurchaser', 'IncentivizedReview']",0,0
101,Maria1,Solid shoe,"June 14, 2025",Fashionable with unique colors combination.  Comfortable for walking,True,5,[],0,0
102,Denn,Cute,"June 14, 2025",Love love great fit color is gorgeous sure will recommending size down to a size 8 and usually I’m a women 9,True,5,[],0,0
103,Pamara,Toooo big,"June 13, 2025","It’s a great looking shoe but the sizing is completely off. I’m an 8.5 in women’s shoes, always, but these shoes fit like a 9.5. I could fit two fingers in the back. Please get your sizing right.",False,3,['IncentivizedReview'],0,0
104,Canes42,Great shoe that's comfortable and sharp looking.,"June 13, 2025",They are very comfortable and look cool.  The color maroon with brown trim and faded yellow stripes is different and looks good.,True,5,"['VerifiedPurchaser', 'IncentivizedReview']",2,0
105,md212,super comfortable and stylish lots of compliments,"June 13, 2025",looks great for work lots of compliments. no need to wear heals to look stylish,True,5,[],0,0
106,DeBuh,Comfortable and beautiful shoes,"June 12, 2025",These shoes are so light and comfortable. A really great slender looking runner. Great for walks and to wear with dresses too.,True,5,[],1,0
107,Wdy89,Obsessed,"June 12, 2025","It’s perfect for any look, it’s looks exactly like the picture",True,5,['IncentivizedReview'],1,0
108,krumcakes,I love the color! these will make any fit pop!,"June 12, 2025",Great price too! I haven't seen many shoes this color,True,5,[],0,0
109,Ctk2025,Fashionable replacement for loafers,"June 12, 2025",This style always goes great with any outfit. Super comfortable and I even have a heel Spur in my left foot.,True,5,"['VerifiedPurchaser', 'IncentivizedReview']",0,0
110,Dell,A unique but classic shoe.,"June 11, 2025",This product stand out because of it  's style and design. I personally like the way the sneaker is make it can go from being casual with a a nice pair a pants or slacks. As well with a nice skirt and dress. They are versatile for me and mine style preference.,True,5,['IncentivizedReview'],0,0
111,Ari06,Best shoes ever,"June 11, 2025",The best shoes! I live it! Comfort and pretty!!! Excelente quality.,True,5,"['VerifiedPurchaser', 'IncentivizedReview']",0,0
112,Love,I love everything from the color to the fit.,"June 11, 2025",Exactly sneakers! I was advertising my sister on Saturday to get a pair and she did. I can’t wait for the Bob Marley one’s to come back out.,True,5,[],1,1
113,Jack15,Love them,"June 10, 2025","Super comfortable and looks great, order 1/2 size down",True,5,['IncentivizedReview'],0,0
114,Kitkat17,I love it. Super ligthweight.,"June 10, 2025",I really love it. It is super ligtweight. It seems I can wear it for all day.,True,5,[],0,0
115,caitgq,Cute but very poor quality and no quality control,"June 10, 2025","Not great quality control here. I love the look so I tried 3 pairs. Each one had problems. the tongue not sewn in properly, weird extra fabric, and rippling near the stripes. I was surprised by the low overall quality and clear issues. Cute, but not made well at all.",False,1,[],4,0
116,nillie,The color was not as described and is quite loud a,"June 10, 2025",The color was so different from the actual color on the Internet. The orange is like a construction cone orange. It’s really too obnoxious.,False,1,['IncentivizedReview'],0,0
117,Mystique,Top 5 best purchase ever,"June 10, 2025","The color combination, the materials and The overall design.",True,4,['IncentivizedReview'],0,0
118,Emily,Recommend for girl,"June 10, 2025","I bought for my sister, she really loves it. Nice color for retro and girly style, comfortable for daily use, but it is quite hard to clean.",True,5,"['VerifiedPurchaser', 'IncentivizedReview']",0,0
119,Thankful1,Just Fun!,"June 10, 2025","These just make me happy the colors are so fun, and comfortable to boot. As with all my adidas 1size down was the perfect fit♥️",True,5,['IncentivizedReview'],0,0
120,NoName,Too slow,"June 10, 2025","I normally wear a 7.5 or 8 so ordered the 7.5. It was too large so had to exchange it for 7. It’s been almost a week and still I have not received my exchange. Adidas definitely cannot compare to Amazon’s efficiency in their delivery speed and  their simple return processes. This explains why as much as I like adidas shoes, I rarely buy from them online. Too much trouble.",False,1,['IncentivizedReview'],1,0
121,Emily,Terrible,"June 10, 2025",I never got my order. It ended up in a different state. I was told I would receive a credit via email and never did. Super unhappy.,False,1,['IncentivizedReview'],0,0
122,MSms,Beautiful but don't fit.,"June 10, 2025","I want to know if I can change the shoes, they came in a bigger size.",True,1,['IncentivizedReview'],0,0
123,afunkychild,Cute,"June 10, 2025",These shoes are stylish and very flattering! They can dress up or dress down and outfit. They run true to size.,True,5,['IncentivizedReview'],0,0
124,Mmusic,Super cute,"June 9, 2025",Love the colors super comfy can’t wait to wear them!,True,5,[],0,0
125,PinkandredOG,Arriving fast,"June 9, 2025",I was really happy because it arrived so fast! And the shoes are so nice too,True,5,[],0,0
126,lILUS,Perfect!,"June 9, 2025","Elegant look, super comfy. I usually get a 6.5 W but they were sold out, I grabbed a 7W and they fit great!  They are comfy and they dont feel big. Even with thin socks!",True,5,"['VerifiedPurchaser', 'IncentivizedReview']",1,0
127,Nate,Just love the old school coming back in fashion,"June 9, 2025","For a friend who's traveling to France soon and she's looking forward to wearing them while walking and shopping, etc...",True,5,['IncentivizedReview'],0,0
128,Wario268,Classic nicely shoes,"June 9, 2025","well i bought this shoes for my wife, she love this, very comfortable, elegant and versatile",True,5,[],0,0
129,Ms AA,SL 72,"June 9, 2025",Beautiful Comfortable Amazing Color Suits Well in all clothes,None,5,['VerifiedPurchaser'],0,0
130,Shoelabel,Love this shoes!,"June 9, 2025",The materials and the design. Love this shoes. Its a classic,True,5,['IncentivizedReview'],0,0
131,Gabo10,"fun colors, classic style","June 9, 2025","They uns a little big, but are comfy and stylish. I love the colors too.",True,4,[],0,0
132,Sungo,good but too tight,"June 9, 2025","the shoes look great but the fit wasn't it, the soleplate was too narrow.",True,2,[],2,0
133,chiky,always,"June 9, 2025","They are very comfortable. I am comfortable, I love design and I just love it.",True,5,[],0,0
134,Shopaholic,Just buy them,"June 9, 2025",I needed a green sneaker and everything about this shoe I loved especially the fact it had a pop of colors in them,True,5,[],0,0
135,ItsMeLisaP,IN LOVE with this style!!!,"June 8, 2025","The color schemes, the vintage style and quality is superb! Plus, super comfy and like Samba’s I would order 1/2 size down. I wear an 8 but 7-1/2 fit perfect. I get compliments every time I wear them! Major statement footwear you gotta add to your wardrobe!",True,5,[],0,0
136,Green,One of the best shoes I have ever bought,"June 8, 2025","Love the green, the comfort, the look the feel  Love the green, the comfort, the look the feel  Love the green, the comfort, the look the feel  Love the green, the comfort, the look the feel Love the green, the comfort, the look the feel, Love the green, the comfort, the look the feel",True,5,[],0,0
137,Monique,Very comfy!,"June 8, 2025",They run big...but I love them. Received so many compliments.,True,5,['IncentivizedReview'],1,0
138,Ktm2025,"Beautiful green color, great style, basically comf","June 8, 2025","Beautiful green color, great style, basically comfortable, do not make my feet look long or big. They could use more comfortable soles, lining and inserts. For around d $100, they should feel better out of the box with thin liner type sox. Will add better insoles.",True,4,['IncentivizedReview'],3,0
139,Dubyac99,Classic 72's make me reminisce about 70's...,"June 8, 2025","I love and adore the suede velvety appeal of the texture of the shoe.  I paid attention to recommended ""sizing"" suggestion, and followed the suggestion.  My shoes fit me snug, as a bug on a rug.    Great walking shoes and I easily carry them into the gym to exercise.    They are offered in extremely diverse colors.  72's are available in perhaps 120 different color schemes and styles.  I have ordered from both ""women"" and men selections.  Once a week, I see a new color or three introduced and made available.",True,5,['IncentivizedReview'],0,0
140,DivaDee,These shoes go great with my lilac but too big,"June 8, 2025",They are very comfortable and I get tons of compliments when I wear them!,True,5,[],0,0
141,Runsbig,Run big in size,"June 8, 2025",Sizing always is always off. I waited for my size to be available and still too big,False,2,[],0,0
142,Susie,The best adidas yet and I have a lot!!!,"June 7, 2025",One of my favorite new adidas   I love the colors and they look amazing with a thing you can dress them up or down,True,5,[],0,0
143,rfaye55,nice shoe,"June 7, 2025",I really like these shoes I wear a 9 but went down to a 8.5 could have got and 8 run big,True,5,[],1,0
144,IG75,Unique mesh adds fun style,"June 7, 2025",Love these! Great addition to my shoe collection. The mesh on the front adds some fun character to them. Can wear with anything.,True,5,['IncentivizedReview'],0,0
145,lisalisa,Eclectic,"June 7, 2025","1.  The color is more purple than pewter 2.  I'm not mad about the purple  I dig these shoes.  Metallic can be futuristic or vintage, depending on fashion's mood.  I was surprised at how mauvey the shoes were upon receipt, but: serendipity, I needed change.  These are somewhere between vibrant and muted, edgy and classic.  I'll wear the to the office or when I'm out on the town.",True,5,['IncentivizedReview'],1,0
146,RonJon,Love the retro look.,"June 7, 2025",Great price for the style and selections.  I would recommend to anyone that is looking for a retro style shoe.,True,5,[],0,0
147,bigang,Best purchase ever,"June 7, 2025",Works perfectly with the fit I got. Color is amazing,True,5,['IncentivizedReview'],0,0
148,Brig,Great style,"June 7, 2025","Love the style! Very 70's Adidas! Didn't realize they were velvet....love the color! Will lok great with anything, dressed up or down",True,5,['IncentivizedReview'],0,0
149,MariWS,I made a great purchase.,"June 6, 2025","First of all, the fit is true to size. I absolutely love the color—it's trendy, stylish, and easy to pair with a variety of looks.",True,5,[],0,0
150,pharen,SIZING IS WAY OFF,"June 6, 2025","Sizing is way off! I ordered these shoes FOUR times! I'm a women's 10, all day long. Last ordered an 8.5 in women's & finally they fit.",True,3,[],0,0
151,Damzelfly,Great Shoe!,"June 6, 2025",These have such a clean look. They are a low profile without being too flat. I have a wide foot and this shoe is very comfortable.  I love the mesh and the raised adidas stripes.,True,5,['IncentivizedReview'],0,0
152,EFaye,Colorful,"June 6, 2025",The shoe is absolutely gorgeous and a show stopper!!,True,5,['IncentivizedReview'],0,0
153,MsDee,"I love the color, got a great deal!!!","June 6, 2025",Vivid colors!! I love it. I hope to find coordinating adidas gear,True,5,[],0,0
154,Micky03,"Nice colour, but lack comfort","June 5, 2025","Although the shoes look class, I wasn't satisfied with their comfort. The sole and the lining somehow feel hard overall.",False,3,[],2,0
155,MWarr170,Cool retro vibes - super comfy!,"June 5, 2025","Great styling, retro vibe, love the color combo, comfortable.",True,5,['IncentivizedReview'],0,0
156,Mimi,"I loved my shoes. Colorful, lightweight and com","June 5, 2025","I loved the color combinations. The quality of the price was a big deal. Also, it is lightweight and beautiful!!",True,5,[],0,0
157,CRoss,Love the pop of color!,"June 5, 2025","Great looking shoe, super comfortable and great for a wide foot baddie!!!",True,5,[],1,0
158,Jonesy,my granddaughter love these,"June 5, 2025",this is my granddaughter 2nd pair she absolutely loves these sneakers she working on the next pair,True,5,[],0,0
159,Seda,Good model and color,"June 4, 2025","Very comfortable, stylish and I’ll recommend others to have this model. Also there are many colors which make it visible and cool",True,5,['IncentivizedReview'],0,0
160,Iwantthat44,Glad I purchased them!,"June 4, 2025","The colors match so well and the leopard print stands out, love the shoes!",True,5,['IncentivizedReview'],0,0
161,Jeb1106,My new favorites!!,"June 4, 2025","These shoes are amazing! Love the liberty pattern- goes with SO much! The shoes are comfortable and great quality.  They do run big. I’m an 8.5 usually and a 9 in a lot of sneakers. I went down to an 8 in these and they are perfect (could have done an 8.5, too)",True,5,[],0,0
162,Moojer0031,I get so many compliments!,"June 4, 2025",The pattern is so unique and they compliment any type of outfit.,True,4,[],0,0
